event_id,circular_ids,n_circulars,luminosity_distance_mpc,luminosity_distance_lower_mpc,luminosity_distance_upper_mpc,far_value,far_unit,snr,snr_source,p_bbh,p_bns,p_nsbh,p_terrestrial,source_class,reference_chirp_mass,reference_chirp_mass_low,reference_chirp_mass_high,reference_mass_frame,data_quality_flags,estimated_chirp_mass_msun,estimation_notes
S230630am,"[34181, 34124, 34180]",3,5336.0,3335.0,7337.0,2.4e-08,Hz,N/A,missing,98.0,1.0,1.0,2.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,134.56,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230927l,"[34777, 34773]",2,2966.0,1925.0,4007.0,1.1e-08,Hz,N/A,missing,98.0,1.0,1.0,2.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,66.51,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230617ab,[33995],1,66.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.69,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230701z,[34129],1,3.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.02,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231123cg,[35168],1,1148.0,810.0,1486.0,3.2e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,21.29,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231020ba,"[34854, 34860, 34863, 34852]",4,1168.0,807.0,1529.0,1.3e-09,Hz,N/A,missing,91.0,1.0,8.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,21.74,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230529p,[33888],1,67.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.7,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230618az,[34014],1,67.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.7,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230525a,[33885],1,57.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.58,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230922g,"[34758, 34757, 34763]",3,1491.0,1048.0,1934.0,1.9e-24,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,29.14,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230620au,[34048],1,59.0,N/A,N/A,N/A,N/A,N/A,missing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_reference_chirp_mass;no_far,0.6,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S230930al,"[34783, 34791, 34787]",3,5123.0,3508.0,6738.0,7.4e-09,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,128.14,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
S231114n,"[35148, 35023, 35031]",3,1965.0,1389.0,2541.0,3.2e-10,Hz,N/A,missing,99.0,1.0,1.0,1.0,BBH,N/A,N/A,N/A,N/A,no_reference_chirp_mass,40.58,"assumed snr=15, cos_iota=0.5, C=0.0001 (uncalibrated for O4a - no in-circular reference chirp mass to fit against)"
